email,timestamp,campaign_name,campaign_source,campaign_medium,campaign_content,campaign_term,campaign_id,URL,Title,URI,scroll_depth,duration
alice.hsu@appier.com,1671667669,spring_sale,google,cpa,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,0.6,10
bryan.phuan@appier.com,1673298815,spring_sale,facebook,cpc,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,1.6,20
charinee.amo@appier.com,1673565846,spring_sale,instagram,cpa,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,2.6,3
jeff.jian@appier.com,1677714118,spring_sale,tiktok,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,3.6,40
kenta.fujikura@appier.com,1673891445,spring_sale,twitter,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,4.6,8
po.liao@appier.com,1673889189,spring_sale,google,cpa,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,5.6,90
roy.lo@appier.com,1672774827,spring_sale,facebook,cpc,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,6.6,50
shinichi.kawakami@appier.com,1675277787,spring_sale,instagram,cpa,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,7.6,60
tengyuan.chang@appier.com,1671585297,spring_sale,tiktok,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,8.6,40
tiffany.law@appier.com,1673522629,spring_sale,google,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,9.6,30
daniel.henderson@fakemail.com,1671667669,spring_sale,google,cpa,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,10.6,59
whitney_wilson@fakemail.com,1673298815,spring_sale,facebook,cpc,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,11.6,63.34545455
logan_griffith@fakemail.com,1673565846,spring_sale,instagram,cpa,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,12.6,67.69090909
martha_robinson@fakemail.com,1677714118,spring_sale,tiktok,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,13.6,72.03636364
alan_ellis@fakemail.com,1673891445,spring_sale,twitter,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,14.6,76.38181818
evan.perry@fakemail.com,1673889189,spring_sale,google,cpa,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,15.6,80.72727273
benjamin.todd@fakemail.com,1672774827,spring_sale,facebook,cpc,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,16.6,85.07272727
lisa.cabrera@fakemail.com,1675277787,spring_sale,instagram,cpa,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,17.6,89.41818182
michele_richardson@fakemail.com,1671585297,spring_sale,tiktok,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,18.6,93.76363636
lisa_ellis@fakemail.com,1673522629,spring_sale,google,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,19.6,98.10909091
daniel_jones@fakemail.com,1673522668,spring_sale,google,cpa,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,20.6,102.4545455
lisa_wilson@fakemail.com,1673522732,spring_sale,facebook,cpc,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,21.6,106.8
michael.spears@fakemail.com,1673522797,spring_sale,instagram,cpa,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,22.6,111.1454545
james.jensen@fakemail.com,1673522835,spring_sale,tiktok,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,23.6,115.4909091
nichole_roberts@fakemail.com,1673522865,spring_sale,twitter,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,24.6,119.8363636
amy_jackson@fakemail.com,1673522949,spring_sale,google,cpa,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,25.6,124.1818182
daniel_dean@fakemail.com,1673523049,spring_sale,facebook,cpc,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,26.6,128.5272727
benjamin.garner@fakemail.com,1673523126,spring_sale,instagram,cpa,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,27.6,132.8727273
craig_sanchez@fakemail.com,1673523202,spring_sale,tiktok,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,28.6,137.2181818
michael.bradley@fakemail.com,1673523280,spring_sale,google,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,29.6,141.5636364
rachel_knight@fakemail.com,1673523300,spring_sale,google,cpa,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,30.6,145.9090909
barry_meyers@fakemail.com,1673523335,spring_sale,facebook,cpc,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,31.6,150.2545455
kimberly_perez@fakemail.com,1673523426,spring_sale,instagram,cpa,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,32.6,154.6
shelly.stewart@fakemail.com,1673523500,spring_sale,tiktok,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,33.6,158.9454545
tanya_cooke@fakemail.com,1673523562,spring_sale,twitter,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,34.6,163.2909091
stephanie.morales@fakemail.com,1673523599,spring_sale,google,cpa,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,35.6,167.6363636
ralph.gibbs@fakemail.com,1673523645,spring_sale,facebook,cpc,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,36.6,171.9818182
annette_robinson@fakemail.com,1673523706,spring_sale,instagram,cpa,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,37.6,176.3272727
timothy.lowe@fakemail.com,1673523729,spring_sale,tiktok,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,38.6,180.6727273
sarah.underwood@fakemail.com,1673523789,spring_sale,google,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,39.6,185.0181818
jodi_avery@fakemail.com,1673523887,spring_sale,google,cpa,logolink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,40.6,189.3636364
misty.lambert@fakemail.com,1673523930,spring_sale,facebook,cpc,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,41.6,193.7090909
paul_tucker@fakemail.com,1673524010,spring_sale,instagram,cpa,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,42.6,198.0545455
bethany.huff@fakemail.com,1673524090,spring_sale,tiktok,cpc,textlink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,43.6,202.4
rita_martin@fakemail.com,1673524113,spring_sale,twitter,cpc,logolink,kenko_haru,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,44.6,206.7454545
jennifer.velasquez@fakemail.com,1673524177,spring_sale,google,cpa,textlink,grow_plus,158771,/?lang=en,Cute Bear,https://shop.botbonnie.com/?lang=en,45.6,211.0909091
